Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Qatar,Price / Qatar,Compare At Price / Qatar,Included / vit,Price / vit,Compare At Price / vit,Included / الامارات العربية المتحدة,Price / الامارات العربية المتحدة,Compare At Price / الامارات العربية المتحدة,Status
beauty-of-joseon-relief-sun-for-sun-relief-rice-probiotics-provides-highest-uva-protection-50-ml,"Beauty of Joseon, Relief Sun for Sun Relief: Rice + Probiotics Provides Highest UVA Protection .50 ml","<p data-mce-fragment=""1""><span data-mce-fragment=""1""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">لون رئيسي هو تأثير الشمس هو عضو ذو تأثير خفيف وكريمي على المسيحية. حتى تبدأ في الحصول على كمية كبيرة من الوقت، فإن الملمس ليس لزجًا، ومن ثم يكون لديك عظام كما يمكنك وضع كريم خفيف للزج. يحتوي هذا المنتج على 30% من الأرز الطازج وخلاصات الحبوب المخمرية، مما يوفر الترطيب والتغذية الاجتماعية.</font></font></span></span></span></p>
<div data-mce-fragment=""1""><br data-mce-fragment=""1""></div>
<div data-mce-fragment=""1"">
<span style=""font-size: 0.875rem;"">ومتكامل على الوجه والرقبة في المرحلة الأخيرة من العناية بالبشرة بالكامل في الصباح واليوم.</span><br>
</div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">المكونات</font></font></span></span></span></div>
<div data-mce-fragment=""1""><br data-mce-fragment=""1""></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">ماء، زيت أرز (أوريزا ساتيفا) (30%)، ديوتيل أديبات، بروبانديول، ثنائي إيثيل أمينو رباعي هيدروكسي بنزويل هكسيل بنزوات، بولي ميثيل سيلسيكويكسان، إيثيل هكسيل تريازون، نياسيناميد، بيز بنزوتريازوليل ميثيلين ميثيل بوتيل فينول، كوك كابريلات/كابريلات، كابريلات. . . ميثيكون، ثنائي إيثيل هكسيل بوتاميدوتريازون، جليسرين. ، بوتيلين جلايكول، جينين رايس روز (أوريزا ساتيفا) (1000 جزء في المليون)، أوراق عطر الكاميليا سينينسيس (كاميليا سينينسيس)، عطر خميرة اللاكتوباكيللوس/اليقطين، كوكتيلة</font></font></span></span></span></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">كيف تستخدم</font></font></span></span></span></div>
<div data-mce-fragment=""1""><br data-mce-fragment=""1""></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">ومتكامل على الوجه والرقبة في المرحلة الأخيرة من العناية بالبشرة بالكامل في الصباح واليوم</font></font></span></span></span></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">تحذيرات</font></font></span></span></span></div>
<div data-mce-fragment=""1""><br data-mce-fragment=""1""></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">للاستخدام الخارجي فقط.</font></font></span></span></span></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">عند استخدام هذا المنتج تجنب ملامسة العينين.</font></font></span></span></span></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">يُحفظ بعيدًا عن متناول الأطفال.</font></font></span></span></span></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;""> قد يحدث إنذار أو لا يوجد شيء طبيعي عند استخدام المنتج، توقف عن استخدام وارجع للطبيب.</font></font></span></span></span></div>",Victoria beauty,Health & Beauty,مستحضرات كورية,"",true,Size,‎3.5 x 2.5 x 13.5 cm; 0.05 Grams,,,,,VTI123-4,60.0,shopify,continue,manual,66.99,77.99,true,true,‎B0CJ9FVX2M,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/4095200747.jpg?v=1707631654,1,"",false,,,,,,,,,,,,,,,g,,61.99,true,,,true,,,true,,,active
beauty-of-joseon-relief-sun-for-sun-relief-rice-probiotics-provides-highest-uva-protection-50-ml,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/4095243559.jpg?v=1707631653,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod-king-test-product,COD-King-Test-Product,,VICTORIA& MAGIC& Cosmetics,,"","",false,Title,Default Title,,,,,COD,0.0,shopify,deny,manual,5.00,,true,false,,,,,false,,,,,,,,,,,,,,,g,,,true,,,true,,,true,,,draft
roll-over-image-to-zoom-incosrx-advanced-snail-peptide-eye-cream-25ml,COSRX Advanced Snail Peptide Eye Cream 25ml,"<div id=""productDescription_feature_div"" class=""celwidget"" data-feature-name=""productDescription"" data-csa-c-type=""widget"" data-csa-c-content-id=""productDescription"" data-csa-c-slot-id=""productDescription_feature_div"" data-csa-c-asin="""" data-csa-c-is-in-initial-active-row=""false"" data-csa-c-id=""56hitm-9of3pf-cwg5z2-gfqe0f"" data-cel-widget=""productDescription_feature_div"" data-mce-fragment=""1"">
<div data-mce-fragment=""1"">
<div data-feature-name=""productDescription"" data-template-name=""productDescription"" id=""productDescription_feature_div"" class=""a-row feature"" data-cel-widget=""productDescription_feature_div"" data-mce-fragment=""1"">
<div id=""productDescription"" class=""a-section a-spacing-small"" data-mce-fragment=""1"">
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">كريم عين غير ثقيل ومزدوج الأداء معبأ بنسبة 72% من مرشح إفراز الحلزون و5 ببتيدات والنياسيناميد الذي يضيء منطقة العين بشكل واضح من خلال المساعدة في تقليل ظهور الهالات السوداء والانتفاخ.</span></p>
</div>
</div>
</div>
</div>
<div id=""renewedProgramDescriptionBtf_feature_div"" class=""celwidget"" data-feature-name=""renewedProgramDescriptionBtf"" data-csa-c-type=""widget"" data-csa-c-content-id=""renewedProgramDescriptionBtf"" data-csa-c-slot-id=""renewedProgramDescriptionBtf_feature_div"" data-csa-c-asin="""" data-csa-c-is-in-initial-active-row=""false"" data-csa-c-id=""lb840e-6wzswz-n4t1ce-s97lwi"" data-cel-widget=""renewedProgramDescriptionBtf_feature_div"" data-mce-fragment=""1""><br data-mce-fragment=""1""></div>
<div id=""aplusBrandStory_feature_div"" class=""celwidget"" data-feature-name=""aplusBrandStory"" data-csa-c-type=""widget"" data-csa-c-content-id=""aplusBrandStory"" data-csa-c-slot-id=""aplusBrandStory_feature_div"" data-csa-c-asin="""" data-csa-c-is-in-initial-active-row=""false"" data-csa-c-id=""1sw4f7-yeew28-bvqpww-k92ywj"" data-cel-widget=""aplusBrandStory_feature_div"" data-mce-fragment=""1""><br data-mce-fragment=""1""></div>
<div id=""aplus_feature_div"" class=""celwidget"" data-feature-name=""aplus"" data-csa-c-type=""widget"" data-csa-c-content-id=""aplus"" data-csa-c-slot-id=""aplus_feature_div"" data-csa-c-asin="""" data-csa-c-is-in-initial-active-row=""false"" data-csa-c-id=""bdx17v-lra9ia-7mnmd4-gmmgir"" data-cel-widget=""aplus_feature_div"" data-mce-fragment=""1"">
<div id=""aplus"" class=""a-section a-spacing-large bucket"" data-mce-fragment=""1""></div>
</div>",Victoria beauty,,مستحضرات كورية,"",true,Size,‎5.1 x 2.5 x 5.1 cm; 60 Grams,,,,,VTI123-6,60.0,shopify,continue,manual,67.99,78.99,true,true,‎ B07ZRF416W,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/61z5ytz-LzL.jpg?v=1708142783,1,"",false,,,,,,,,,,,,,,,g,,62.99,true,,,true,,,true,,,active
cosrx-good-morning-low-ph-cleanser-150ml,COSRX Good Morning Low-Ph Cleanser 150ml,"<div class=""celwidget aplus-module 3p-module-b aplus-standard"" data-csa-c-id=""i45ayv-2ud3yd-o6sq88-olq9zf"" data-cel-widget=""aplus-3p-module-b"" data-mce-fragment=""1"" cel_widget_id=""aplus-3p-module-b"">
<div class=""aplus-module-wrapper aplus-3p-fixed-width"" data-mce-fragment=""1"">
<p class=""a-spacing-base"" data-mce-fragment=""1""><span class=""a-text-bold"" data-mce-fragment=""1""><span data-mce-fragment=""1"">منظف ​​ذو درجة حموضة متوازنة</span></span><span data-mce-fragment=""1""> | ينظف المنظف البشرة بسلاسة مع الحفاظ على مستوى الرقم الهيدروجيني الأمثل للحصول على توهج صحي. باستخدام منظف ذو درجة حموضة منخفضة، يمكنك الحفاظ على توازن بشرتك وحماية حاجز البشرة.</span></p>
<p class=""a-spacing-base"" data-mce-fragment=""1""><span class=""a-text-bold"" data-mce-fragment=""1""><span data-mce-fragment=""1"">فقاعة لطيفة لا تسبب التهيج أبدًا</span></span><span data-mce-fragment=""1""> | فعال للغاية في تنظيف الدهون الزائدة على الجلد دون التسبب في تهيج الجلد أو تجفيفه. رائع للاستخدام ليلاً ونهارًا لإنتاج فقاعات وفيرة من ملمس ناعم لطيف.</span></p>
<p class=""a-spacing-base"" data-mce-fragment=""1""><span class=""a-text-bold"" data-mce-fragment=""1""><span data-mce-fragment=""1"">BHA وزيت شجرة الشاي</span></span><span data-mce-fragment=""1""> | منظف ​​جل معزز بزيت شجرة الشاي وBHA المشتق من النباتات والذي ينظف المسام للتحكم في الشوائب ويترك البشرة رطبة طوال اليوم.</span></p>
</div>
</div>
<div class=""celwidget aplus-module module-9 aplus-standard"" data-csa-c-id=""4dsf0f-tyj69k-h2hjg3-voi1xk"" data-cel-widget=""aplus-module-9"" data-mce-fragment=""1"" cel_widget_id=""aplus-module-9"">
<div class=""aplus-module-wrapper apm-fixed-width"" data-mce-fragment=""1"">
<div class=""apm-spacing apm-fixed-width"" data-mce-fragment=""1""></div>
</div>
</div>",Victoria beauty,Health & Beauty,مستحضرات كورية,"",true,Size,‎5 x 7 x 17 cm; 100 Grams,,,,,VTI123-15,100.0,shopify,continue,manual,62.99,73.99,true,true,B016NRXO06,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/1.jpg?v=1707856387,1,"",false,,,,,,,,,,,,,,,g,,57.99,true,,,true,,,true,,,active
cosrx-good-morning-low-ph-cleanser-150ml,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/61UcS1QVdFS._AC_SY450__1.jpg?v=1707856388,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
cosrx-good-morning-low-ph-cleanser-150ml,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/11401192-1944895727565704.jpg?v=1707856388,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
cosrx-hyaluronic-acid-intensive-cream,Cosrx Hyaluronic Acid Intensive Cream,"<div id=""productDescription_feature_div"" class=""celwidget"" data-feature-name=""productDescription"" data-csa-c-type=""widget"" data-csa-c-content-id=""productDescription"" data-csa-c-slot-id=""productDescription_feature_div"" data-csa-c-asin="""" data-csa-c-is-in-initial-active-row=""false"" data-csa-c-id=""fxy2c9-l30t41-co6bsx-7e8smx"" data-cel-widget=""productDescription_feature_div"" data-mce-fragment=""1"">
<div data-mce-fragment=""1"">
<div data-feature-name=""productDescription"" data-template-name=""productDescription"" id=""productDescription_feature_div"" class=""a-row feature"" data-cel-widget=""productDescription_feature_div"" data-mce-fragment=""1"">
<div id=""productDescription"" class=""a-section a-spacing-small"" data-mce-fragment=""1"">
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">غني بحمض الهيالورونيك وماء هيبوهاي رامنويدس، يتلقى الجلد الترطيب الأساسي ويتم منع فقدان الرطوبة.</span></p>
</div>
</div>
</div>
</div>
<div id=""renewedProgramDescriptionBtf_feature_div"" class=""celwidget"" data-feature-name=""renewedProgramDescriptionBtf"" data-csa-c-type=""widget"" data-csa-c-content-id=""renewedProgramDescriptionBtf"" data-csa-c-slot-id=""renewedProgramDescriptionBtf_feature_div"" data-csa-c-asin="""" data-csa-c-is-in-initial-active-row=""false"" data-csa-c-id=""81a5av-bwmc0p-1gp36u-n5mby3"" data-cel-widget=""renewedProgramDescriptionBtf_feature_div"" data-mce-fragment=""1"">واعطاء البشرة النضارة الرائعة</div>",Victoria beauty,Health & Beauty,مستحضرات كورية,"",true,Size,‎5.08 x 5.08 x 3.81 cm; 90.72 Grams,,,,,VTI123-16,90.72,shopify,continue,manual,69.99,80.99,true,true,B072FH17NJ,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/71RFCtnt3eS._AC_SL1500.jpg?v=1707858447,1,"",false,,,,,,,,,,,,,,,g,,64.99,true,,,true,,,true,,,active
cosrx-hyaluronic-acid-intensive-cream,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/61pTyy0RnLS._AC_SL1500.jpg?v=1707858447,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
cosrx-purifying-treatment-toner-150ml,"COSRX Purifying Treatment Toner, 150ml","<span data-mce-fragment=""1"">حتوي على تونر مائي من نوع الزيوت العطرية اليابانية المساهمة والحساسة والهادئة للبشرة. يحتوي على تونر مائي من النوع الغازي السائل العشبي اللطيف والهادئ والهادئ للبشرة. تونر مناسب من نوع الشفاه</span>",Victoria beauty,Health & Beauty,مستحضرات كورية,"",true,Size,‎ 5.08 x 3.56 x 7.11 cm; 180 Grams,,,,,VTI123-2,15.2,shopify,continue,manual,65.99,76.99,true,true,B073P6BPF5,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/4089287390.webp?v=1707769305,1,"",false,,,,,,,,,,,,,,,g,,60.99,true,,,true,,,true,,,active
